oferta_id,url,titulo,descripcion,empresa,ubicacion,fecha_publicacion,texto_tarjeta_crudo,primera_linea,pagina,fecha_publicacion2,gran_grupo_pred,sim_gran_grupo,codigo_ciuo_pred,sim_codigo_ciuo,puesto_ref_mas_similar,fuente_ref,metodo,correccion_manual,macro_v1,subcategoria_v1,macro_v2,subcategoria_v2,macro_v3,subcategoria_v3,habilidades_identificadas
2026-087847,https://www.bne.gob.cl/oferta/2026-087847,Soldadores en Brazing con calificación al día,"Se necesitan Soldadores en Brazing con calificación al día, para importante empresa del área de refrigeración en la Región Metropolitana.",Confidencial,Metropolitana - Providencia,Hace 11 días,"Hace 11 días
Soldadores en Brazing con calificación al día
Se necesitan Soldadores en Brazing con calificación al día, para importante empresa del área de refrigeración en la Región Metropolitana.
Confidencial
Metropolitana - Providencia
Ver Más",Hace 11 días,197,2026-07-31,7,0.847,7212,0.55,Soldador/a calificado/a,ENADEL 2025 (C1/C3),titulo,False,Competencias manuales,Destrezas de coordinación óculo-manual y óculo-podal,,,,,soldador
2026-087864,https://www.bne.gob.cl/oferta/2026-087864,Asist. Servicio al Cliente y Ventas Sodimac HC Maipú PT25,Misión del cargo: Asistente Servicio al Cliente y Ventas Sodimac HC Maipú Jornada PT25 hrs Asistente Servicio a Cliente y Ventas ¿Te gustaría aprender con los mejores y d...,SODIMAC S.A.,Metropolitana - Maipú,Hace 11 días,"Hace 11 días
Asist. Servicio al Cliente y Ventas Sodimac HC Maipú PT25
Misión del cargo: Asistente Servicio al Cliente y Ventas Sodimac HC Maipú Jornada PT25 hrs Asistente Servicio a Cliente y Ventas ¿Te gustaría aprender con los mejores y d...
SODIMAC S.A.
Metropolitana - Maipú
Ver Más",Hace 11 días,198,2026-07-31,4,0.518,4222,0.407,Empleado/a de servicio al cliente,ENADEL 2025 (C1/C3),titulo,False,Competencias socioemocionales,Competencias de atención al cliente,,,,,"servicio al cliente, venta, ventas"
2026-087457,https://www.bne.gob.cl/oferta/2026-087457,Operarios (as) acuícolas agua mar,"Importante Empresa del área acuícola, necesita contratar operarios acuícolas de agua mar turnos rotativos 12x12, con experiencia comprobable. Con libreta de Patrón de nave ...",Confidencial,Los Lagos - Hualaihué,Hace 11 días,"Hace 11 días
Operarios (as) acuícolas agua mar
Importante Empresa del área acuícola, necesita contratar operarios acuícolas de agua mar turnos rotativos 12x12, con experiencia comprobable. Con libreta de Patrón de nave ...
Confidencial
Los Lagos - Hualaihué
Ver Más",Hace 11 días,198,2026-07-31,3,0.34,3142,0.492,Técnico/a acuícola,ENADEL 2025 (C1/C3),titulo,False,,,,,,,
2026-087494,https://www.bne.gob.cl/oferta/2026-087494,Supervisor Operaciones - Copiapo,"Únete a SALFA y sé parte de un gran equipo Con más de 85 años de trayectoria, en SALFA seguimos construyendo el futuro. Somos una empresa sólida, en constante crecim...",Arrendadora de Vehículos S.A.,Atacama - Copiapó,Hace 11 días,"Hace 11 días
Supervisor Operaciones - Copiapo
Únete a SALFA y sé parte de un gran equipo Con más de 85 años de trayectoria, en SALFA seguimos construyendo el futuro. Somos una empresa sólida, en constante crecim...
Arrendadora de Vehículos S.A.
Atacama - Copiapó
Ver Más",Hace 11 días,198,2026-07-31,3,0.647,3122,0.766,Supervisor/a de operaciones,ENADEL 2025 (C1/C3),titulo,False,,,,,,,
2026-087367,https://www.bne.gob.cl/oferta/2026-087367,Operador de Bodega - Maipú,"Empresa de outsourcing operacional busca Operador(a) de Bodega para incorporación inmediata. Funciones: recepción, almacenamiento y despacho de mercadería; preparación d...",SERVINORTE CHILE SPA,Metropolitana - Maipú,Hace 11 días,"Hace 11 días
Operador de Bodega - Maipú
Empresa de outsourcing operacional busca Operador(a) de Bodega para incorporación inmediata. Funciones: recepción, almacenamiento y despacho de mercadería; preparación d...
SERVINORTE CHILE SPA
Metropolitana - Maipú
Ver Más",Hace 11 días,198,2026-07-31,4,0.591,4321,0.744,Operador/a de bodega,ENADEL 2025 (C1/C3),titulo,False,Competencias cognitivas,Competencias de gestión de proyectos y procesos,,,,,bodega
2026-087776,https://www.bne.gob.cl/oferta/2026-087776,Supervisor(a) de Mantención,Sodexo Chile está en búsqueda de un(a) Supervisor(a) de Mantención para unirse a nuestro equipo en Región de Magallanes. Si eres una persona apasionada por la excelencia o...,SODEXO,Magallanes y Antártica Chilena - Punta Arenas,Hace 11 días,"Hace 11 días
Supervisor(a) de Mantención
Sodexo Chile está en búsqueda de un(a) Supervisor(a) de Mantención para unirse a nuestro equipo en Región de Magallanes. Si eres una persona apasionada por la excelencia o...
SODEXO
Magallanes y Antártica Chilena - Punta Arenas
Ver Más",Hace 11 días,198,2026-07-31,3,0.699,3134,0.725,Supervisores de mantención de redes de gas,ENADEL 2025 (C1/C3),titulo,False,Competencias cognitivas,Competencias informáticas generales,Competencias manuales,Destrezas de coordinación óculo-manual y óculo-podal,,,"excel, mantencion"
2026-087784,https://www.bne.gob.cl/oferta/2026-087784,Ejecutivo(a) Call center - Renca,En buses Pluss chile nos encontramos en busqueda de Ejecutiva (o) Call center para atencion de clientes via telefonica. Requisitos: - disponibilidad para trabajar de manera presencial en la comu...,Transportes Pluss Chile Gaspar Cikutovic Madariaga EIRL,Metropolitana - Renca,Hace 11 días,"Hace 11 días
Ejecutivo(a) Call center - Renca
En buses Pluss chile nos encontramos en busqueda de Ejecutiva (o) Call center para atencion de clientes via telefonica. Requisitos: - disponibilidad para trabajar de manera presencial en la comu...
Transportes Pluss Chile Gaspar Cikutovic Madariaga EIRL
Metropolitana - Renca
Ver Más",Hace 11 días,198,2026-07-31,3,0.468,3343,0.538,Asistente ejecutivo,ENADEL 2025 (C1/C3),titulo,False,,,,,,,
2026-087786,https://www.bne.gob.cl/oferta/2026-087786,Operador Sala Monitoreo de flota,"Importante empresa de transportes ubicada en la comuna de renca, se encuentra en busca de un operador para sala de monitoreo de flota . horario: turnos rotativos : mañana , tarde y nocturno ...",Transportes Pluss Chile Gaspar Cikutovic Madariaga EIRL,Metropolitana - Renca,Hace 11 días,"Hace 11 días
Operador Sala Monitoreo de flota
Importante empresa de transportes ubicada en la comuna de renca, se encuentra en busca de un operador para sala de monitoreo de flota . horario: turnos rotativos : mañana , tarde y nocturno ...
Transportes Pluss Chile Gaspar Cikutovic Madariaga EIRL
Metropolitana - Renca
Ver Más",Hace 11 días,198,2026-07-31,5,0.359,5414,0.457,Jefe de monitoreo de seguridad,ENADEL 2025 (C1/C3),titulo,False,,,,,,,
2026-087285,https://www.bne.gob.cl/oferta/2026-087285,Vigilante privado sin Curso,Importante empresa del rubro metalmecánico está en búsqueda de candidatos con experiencia como Guardia de Seguridad o Soldado Profesional para formarse e integrarse a nuestro equi...,Confidencial,Metropolitana - Santiago,Hace 11 días,"Hace 11 días
Vigilante privado sin Curso
Importante empresa del rubro metalmecánico está en búsqueda de candidatos con experiencia como Guardia de Seguridad o Soldado Profesional para formarse e integrarse a nuestro equi...
Confidencial
Metropolitana - Santiago
Ver Más",Hace 11 días,198,2026-07-31,5,0.564,5414,0.591,Vigilante,ENADEL 2025 (C1/C3),titulo,False,Competencias manuales,Destrezas de coordinación óculo-manual y óculo-podal,,,,,"guardia, seguridad"
2026-087854,https://www.bne.gob.cl/oferta/2026-087854,TRABAJADOR/A SOCIAL JORNADA COMPLETA PRM CENIM PUERTO,"Proyecto especializado línea programática PRM CENIM Puerto, ubicado en San Antonio, requiere proveer el cargo de Trabajador/a Social jornada completa. Interesados/as en postular deben cu...",Fundacion Mi Casa,Valparaíso - San Antonio,Hace 11 días,"Hace 11 días
TRABAJADOR/A SOCIAL JORNADA COMPLETA PRM CENIM PUERTO
Proyecto especializado línea programática PRM CENIM Puerto, ubicado en San Antonio, requiere proveer el cargo de Trabajador/a Social jornada completa. Interesados/as en postular deben cu...
Fundacion Mi Casa
Valparaíso - San Antonio
Ver Más",Hace 11 días,198,2026-07-31,2,0.364,2635,0.513,Trabajador/a social,ENADEL 2025 (C1/C3),titulo,False,,,,,,,
2026-087856,https://www.bne.gob.cl/oferta/2026-087856,SUB DIRECTOR/A TECNICO MEDIA JORNADA PRM CENIM PUERTO,"Programa de Protección especializada PRM CENIM ubicado en San Antonio, requiere proveer el cargo de Sub Director/a Técnica jornada parcial que cumpla con los siguientes requisitos: -...",Fundacion Mi Casa,Valparaíso - San Antonio,Hace 11 días,"Hace 11 días
SUB DIRECTOR/A TECNICO MEDIA JORNADA PRM CENIM PUERTO
Programa de Protección especializada PRM CENIM ubicado en San Antonio, requiere proveer el cargo de Sub Director/a Técnica jornada parcial que cumpla con los siguientes requisitos: -...
Fundacion Mi Casa
Valparaíso - San Antonio
Ver Más",Hace 11 días,198,2026-07-31,1,0.391,1330,0.291,Director de tecnología de la información (director de TI),INE (manual CIUO-08.CL),titulo,False,,,,,,,
