gran_grupo,gran_grupo_nombre,n_muestra,personas_estimadas,ingreso_trabajo_prom,horas_semanales_prom,tasa_formalidad,pct_mujeres
5,Trabajadores de los servicios y vendedores de comercios y mercados,19856,1926555,580295.7167352181,38.814342306470266,0.6553023361391438,0.5738694197674087
2,"Profesionales, científicos e intelectuales",15518,1894616,1700545.5452349533,40.697749546817555,0.8640951526488189,0.5059605745966465
9,Ocupaciones elementales,15622,1327557,474494.79799703206,38.477070521403014,0.6294598671500781,0.5352372817137042
7,Artesanos y operarios de oficios,13409,1261661,633138.4276253517,40.710579053095664,0.5857819204847095,0.1570390144420728
3,Técnicos y profesionales de nivel medio,10184,1062830,1001531.2438754113,41.79816616094301,0.8599068535631624,0.5474280929217279
8,"Operadores de instalaciones, máquinas y ensambladores",8835,821800,761197.3466042068,45.574292058538596,0.7466592454801556,0.09405208079824774
4,Personal de apoyo administrativo,4506,483501,759956.3469928431,42.33035734644509,0.8899224967058507,0.4761127691566305
1,"Directores, gerentes y administradores",3304,403595,2539701.4292097,43.505211203964386,0.9178075396825397,0.35401826088033794
6,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",3896,263630,570010.035768681,41.07343883874884,0.49039173472758546,0.13933163903956303
0,Ocupaciones de las fuerzas armadas,288,20362,1340599.8254100776,48.476688539148455,0.9538846871623613,0.06521952656909931
