codigo_ciuo08,ocupacion_nombre,subgrupo_principal,subgrupo_principal_nombre,subgrupo,subgrupo_nombre,gran_grupo,gran_grupo_nombre,n_muestra,personas_estimadas,ingreso_trabajo_prom,horas_semanales_prom,tasa_formalidad,pct_asalariados,pct_cuenta_propia,pct_empleadores,pct_mujeres,edad_prom,escolaridad_prom,es_crosswalk,pct_crosswalk_ambiguo,muestra_chica
5223,"Vendedores y asistentes de venta de tiendas, almacenes y puestos de mercado",52,Vendedores,522,"Comerciantes, dueños - operadores, supervisores y vendedores de tiendas, almacenes y puestos de mercado",5,Trabajadores de los servicios y vendedores de comercios y mercados,3508,347861,607170.6962642558,39.32495217822779,0.7574377524672028,0.9178694938495549,0.05184829572731637,0.010817539189503853,0.6126355067110139,38.3422976418742,13.109778318954723,FALSE,0,FALSE
9112,"Auxiliares de aseo de oficinas, hoteles y otros establecimientos",91,Auxiliares de aseo y trabajadores de casa particular,911,"Trabajadores de casa particular, limpiadores de oficinas, hoteles y otros establecimientos",9,Ocupaciones elementales,3241,277616,495070.43112429144,40.82197058515838,0.8415234566477322,0.9621095325917814,0.03278989683591724,0.0047079419053656845,0.765089187943058,47.0890402570457,10.82662281635939,FALSE,0,FALSE
9211,Obreros de explotaciones agrícolas,92,"Obreros agropecuarios, pesqueros y forestales",921,"Obreros agropecuarios, de jardinería y horticultura, forestales y pesqueros",9,Ocupaciones elementales,3255,231740,472026.58471675945,41.599669464619666,0.5764338706443373,0.9224130491067576,0.06736428756364891,0.007767325450936394,0.3538620868214378,44.403577284888236,9.298551101856672,FALSE,0,FALSE
8322,"Conductores de automóviles, taxis y camionetas",83,Conductores de vehículos y operadores de equipos pesados y móviles,832,"Conductores de motocicletas, automóviles y camionetas",8,"Operadores de instalaciones, máquinas y ensambladores",2439,228453,647234.7471978302,42.997388538684476,0.48313188041719823,0.5078462528397526,0.46890607696112546,0.020310523389931407,0.09914074229710268,46.731205105645365,12.216390782925172,FALSE,0,FALSE
9111,Trabajadores de casa particular y asistentes domésticos,91,Auxiliares de aseo y trabajadores de casa particular,911,"Trabajadores de casa particular, limpiadores de oficinas, hoteles y otros establecimientos",9,Ocupaciones elementales,2516,225673,390985.47439376067,29.810376918463895,0.4273309893631225,0.8839028151351734,0.11266744360202594,0.002432723453846938,0.984211669096436,51.91270555183828,10.026027378869312,FALSE,0,FALSE
5221,"Comerciantes y dueños - operadores de locales comerciales, tiendas, almacenes y mercados",52,Vendedores,522,"Comerciantes, dueños - operadores, supervisores y vendedores de tiendas, almacenes y puestos de mercado",5,Trabajadores de los servicios y vendedores de comercios y mercados,2414,212140,617901.0366579548,44.09968835494231,0.6772820275889381,0.040690110304515886,0.8026397661921373,0.14730838125766005,0.5272602998020175,49.257829735080605,11.795952854302755,FALSE,0,FALSE
5414,Guardias de seguridad,54,Personal de los servicios de protección y seguridad,541,Personal de los servicios de protección y seguridad,5,Trabajadores de los servicios y vendedores de comercios y mercados,2155,211745,626051.7954967102,45.25954726929606,0.8622917536336382,0.98208222154006,0.011400505324801058,0.006517273135138964,0.1889867529339536,43.71912441852228,12.010531995967074,FALSE,0,FALSE
8332,Conductores de camiones pesados y de alto tonelaje,83,Conductores de vehículos y operadores de equipos pesados y móviles,833,"Conductores de buses, trolebuses y camiones pesados",8,"Operadores de instalaciones, máquinas y ensambladores",2153,189065,851472.2257993645,46.873900904948336,0.8465910900232462,0.8380504059450453,0.13871419882051148,0.023235395234443183,0.019379578451855183,46.072176235686136,11.608834551495017,FALSE,0,FALSE
4321,Empleados encargados del control de abastecimiento e inventario,43,Auxiliares y ayudantes de registros contables y encargados del registro de materiales,432,Empleados encargados del registro de materiales y de transportes,4,Personal de apoyo administrativo,1501,172714,728820.1528301886,43.62962598140047,0.9297412343273368,0.9886112301261044,0.009466516900772375,0.0019222529731231979,0.20226501615387288,38.33569369014672,13.031236218462038,FALSE,0,FALSE
5211,Vendedores en quioscos o puestos de feria,52,Vendedores,521,Vendedores en quioscos o puestos de feria y vendedores ambulantes de comidas y bebidas de consumo inmediato (elaboración propia),5,Trabajadores de los servicios y vendedores de comercios y mercados,1543,166674,301046.1351848537,29.003662165255207,0.15767306238525505,0.07421073472767198,0.8657679062121266,0.04352808476427037,0.5704908984004704,47.81884397086528,10.083649984042008,FALSE,0,FALSE
