idempresa_ficticio,pond_final,varunit,varstrat,fpc,c1_Codigo_CIUO_1,c1_glosa_CIUO_1,c1_c_1,c1_d_1,c1_e_1,c1_f_1,c1_h_1,c1_g_dif1_1,c1_g_dif2_1,c1_g_dif3_1,c1_g_dif4_1,c1_g_dif5_1,c1_Codigo_CIUO_2,c1_glosa_CIUO_2,c1_c_2,c1_d_2,c1_e_2,c1_f_2,c1_h_2,c1_g_dif1_2,c1_g_dif2_2,c1_g_dif3_2,c1_g_dif4_2,c1_g_dif5_2,c1_Codigo_CIUO_3,c1_glosa_CIUO_3,c1_c_3,c1_d_3,c1_e_3,c1_f_3,c1_h_3,c1_g_dif1_3,c1_g_dif2_3,c1_g_dif3_3,c1_g_dif4_3,c1_g_dif5_3,c1_Codigo_CIUO_4,c1_glosa_CIUO_4,c1_c_4,c1_d_4,c1_e_4,c1_f_4,c1_h_4,c1_g_dif1_4,c1_g_dif2_4,c1_g_dif3_4,c1_g_dif4_4,c1_Codigo_CIUO_5,c1_glosa_CIUO_5,c1_c_5,c1_d_5,c1_e_5,c1_f_5,c1_h_5,c1_g_dif1_5,c1_g_dif2_5,c1_g_dif3_5,c1_g_dif4_5,c1_Codigo_CIUO_6,c1_glosa_CIUO_6,c1_c_6,c1_d_6,c1_e_6,c1_f_6,c1_h_6,c1_g_dif1_6,c1_g_dif2_6,c1_g_dif3_6,c1_Codigo_CIUO_7,c1_glosa_CIUO_7,c1_c_7,c1_d_7,c1_e_7,c1_f_7,c1_h_7,c1_g_dif1_7,c3_Codigo_CIUO_1,c3_glosa_CIUO_1,c3_Puesto_Trabajo_1,c3_c_1,c3_d_1,c3_Codigo_CIUO_2,c3_glosa_CIUO_2,c3_Puesto_Trabajo_2,c3_c_2,c3_d_2,c3_Codigo_CIUO_3,c3_glosa_CIUO_3,c3_Puesto_Trabajo_3,c3_c_3,c3_d_3
220773433.0,2.83255681266876,10023.0,148.0,0.645161290322581,2342.0,Educadores de párvulos,5.0,0.0,1.0,1.0,2.0,,,,,,3611.0,Técnicos en educación parvularia,3.0,0.0,1.0,1.0,2.0,,,,,,2341.0,Profesores de educación básica,5.0,0.0,1.0,1.0,1.0,,,,,,4110.0,Trabajadores de tareas administrativas generales,5.0,0.0,1.0,1.0,1.0,,,,,9112.0,"Auxiliares de aseo de oficinas, hoteles y otros establecimientos",0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341778823.0,3.78015522531299,10030.0,26.0,0.572916666666667,5120.0,Cocineros,0.0,0.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220448856.0,2.2233740864553,10495.0,163.0,0.8,5120.0,Cocineros,3.0,2.0,1.0,1.0,2.0,,,,,,5131.0,Garzones de mesa,2.0,1.0,2.0,1.0,3.0,,,,,,5132.0,bármanes,2.0,1.0,2.0,1.0,1.0,,,,,,9412.0,Ayudantes de cocina,0.0,0.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5132.0,bármanes,Bartender,2.0,1.0,9412.0,Ayudantes de cocina,Ayudante de cocina,0.0,0.0,5131.0,Garzones de mesa,Garzón/a,2.0,0.0
671668856.0,2.2233740864553,10100.0,163.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5131.0,Garzones de mesa,Garzones de mesa,2.0,0.0,,,,,,,,,,
220113433.0,2.83255681266876,10010.0,148.0,0.645161290322581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891778823.0,3.78015522531299,10007.0,26.0,0.572916666666667,5131.0,Garzones de mesa,2.0,0.0,1.0,1.0,6.0,,,,,,5120.0,Cocineros,2.0,1.0,1.0,1.0,5.0,,,,,,9412.0,Ayudantes de cocina,2.0,0.0,1.0,1.0,2.0,,,,,,4110.0,Trabajadores de tareas administrativas generales,5.0,3.0,1.0,1.0,2.0,,,,,5132.0,bármanes,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,4321.0,Empleados encargados del control de abastecimiento e inventario,Bodeguero/a,2.0,1.0,,,,,,,,,,
33077127.0,28.7181252781852,10278.0,274.0,0.212076583210604,1213.0,"Directores, gerentes y administradores de políticas empresariales y planificación",5.0,4.0,1.0,1.0,1.0,,,,,,4313.0,Empleados encargados de nóminas o registros de remuneraciones,4.0,-99.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219.0,"Otros directores, gerentes y administradores de servicios administrativos no clasificados previamente",Subgerente general,5.0,-99.0,,,,,,,,,,
770667756.0,3.01617970092595,10238.0,204.0,0.864197530864197,9333.0,Obreros de carga,2.0,0.0,1.0,1.0,1.0,,,,,,4321.0,Empleados encargados del control de abastecimiento e inventario,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8332.0,Conductores de camiones pesados y de alto tonelaje,Conductor/a (chofer) de camión,2.0,2.0,,,,,,,,,,
231776656.0,3.84563853409296,10080.0,247.0,0.617021276595745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220345423.0,1.66358834100554,10006.0,238.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4225.0,"Empleados de informaciones, reclamos o sugerencias",Ejecutivo/a de información al cliente,5.0,2.0,3323.0,Agentes responsables de adquisiciones,Encargado/a de compras,5.0,2.0,4321.0,Empleados encargados del control de abastecimiento e inventario,Bodeguero/a,4.0,3.0
