codigo_ciuo,n_empresas_muestra,peso_empresas,personas_contratadas,pct_sin_contratar,nivel_educ_moda,nivel_educ_pct,anios_exp_prom,pct_requiere_cert,nivel_educ_glosa,razon_dificultad_glosa,n_empresas_proyectan,peso_empresas_proyectan
1120,16,357.67026927862236,313.04467776704263,0.2006708942866509,5,0.7653064546274653,4.318355312621719,0.9585601050735217,Profesional,Candidatos sin competencias o habilidades técnicas requeridas,6,90.55046163245521
1211,24,188.8892728784359,197.4846082536305,0.07550586132425721,5,0.8100852140304642,3.2200611387040996,0.6601789513005111,Profesional,Ubicación geográfica,8,317.66819635892705
1212,35,489.4462313282001,695.7573937677942,0.05370787000590218,5,0.5753813452939962,3.1187315739722514,0.9165262964880395,Profesional,Falta de postulantes,7,44.17261856895524
1213,7,312.8549001775465,316.8549001775465,0,6,0.7405008372549661,3.5472125271336448,1,Profesional con Magíster,NA,3,8.483235776528801
1219,13,151.1210961090054,168.78280135773596,0.020726264616975416,5,0.7034074621100296,2.853387769880325,0.7573955151681867,Profesional,Candidatos sin la experiencia laboral mínima requerida,4,334.912185376258
1221,22,841.7680038796556,939.4035953995447,0.00417320061125563,5,0.8856265720985752,4.522212314896539,0.1534333352202724,Profesional,Candidatos sin competencias o habilidades técnicas requeridas,9,423.5559197332058
1222,4,29.53227203799532,36.53227203799532,0,5,0.856253610779427,5.64544059420225,0.03386126196837922,Profesional,NA,NA,NA
1223,1,4.01755510457195,0,1,5,1,4,1,Profesional,Candidatos sin competencias o habilidades técnicas requeridas,1,28.3262895606989
1311,15,749.9522721824192,926.09444990579,0.037716380159228596,5,0.9369830519923273,0.8440446732964115,0.8915458278378099,Profesional,Falta de postulantes,5,18.31467205428005
1312,2,15.60636594476121,15.60636594476121,0,6,0.7659601683539341,7.65960168353934,0,Profesional con Magíster,NA,NA,NA
1321,8,265.77291216256157,889.0352028153962,0,5,0.8840881987760547,4.431505103218546,0.1572107826572876,Profesional,NA,NA,NA
