idempresa_ficticio,pond_final,codigo_ciuo,nivel_educ,anios_exp,requiere_cert,contrato,vacantes_contratadas,dif1,dif2,dif3,dif4,dif5
220773433,2.83255681266876,2342,5,0,1,1,2,NA,NA,NA,NA,NA
341778823,3.78015522531299,5120,0,0,2,1,4,NA,NA,NA,NA,NA
220448856,2.2233740864553,5120,3,2,1,1,2,NA,NA,NA,NA,NA
891778823,3.78015522531299,5131,2,0,1,1,6,NA,NA,NA,NA,NA
33077127,28.7181252781852,1213,5,4,1,1,1,NA,NA,NA,NA,NA
770667756,3.01617970092595,9333,2,0,1,1,1,NA,NA,NA,NA,NA
561664401,4.67122427020826,9612,2,0,2,1,7,NA,NA,NA,NA,NA
682778801,10.0540792660816,5120,4,0,2,1,5,NA,NA,NA,NA,NA
440113433,2.83255681266876,2248,5,2,1,1,1,NA,NA,NA,NA,NA
100177886,17.8979195718987,5230,4,0,1,1,1,NA,NA,NA,NA,NA
660771233,6.0979201785786,3240,4,0,2,1,2,NA,NA,NA,NA,NA
990773356,1.99192662405012,8332,2,3,1,1,2,NA,NA,NA,NA,NA
462777723,2.2453250560792,9333,2,0,1,1,2,NA,NA,NA,NA,NA
220443433,2.83255681266876,2330,5,0,1,1,3,NA,NA,NA,NA,NA
220014356,1.20358634105105,9333,2,0,1,1,2,NA,NA,NA,NA,NA
671776656,3.84563853409296,9333,1,0,1,1,1,NA,NA,NA,NA,NA
330991211,7.3679960442521,3343,4,0,2,1,2,NA,NA,NA,NA,NA
44001446,23.8691645475402,3344,2,1,1,1,2,NA,NA,NA,NA,NA
22776656,3.84563853409296,5131,0,0,2,1,1,NA,NA,NA,NA,NA
550122123,2.25841296736366,9329,3,2,1,1,120,NA,NA,NA,NA,NA
330995501,17.8295127997664,7115,4,3,2,1,18,NA,NA,NA,NA,NA
660883356,1.20358634105105,7212,3,1,2,1,2,NA,NA,NA,NA,NA
781113301,11.2255998614226,7212,3,0,2,1,2,NA,NA,NA,NA,NA
88077994,3.8011582358127,2642,5,2,1,1,2,NA,NA,NA,NA,NA
33066349,10.8202217704964,2342,5,0,1,1,1,NA,NA,NA,NA,NA
220223411,11.6878087424019,5312,4,0,1,1,1,NA,NA,NA,NA,NA
77077559,61.8329989886565,3343,4,1,1,1,1,NA,NA,NA,NA,NA
22023217,1,9211,0,0,2,1,460,NA,NA,NA,NA,NA
34177776,14.7227422316396,5230,3,0,1,1,1,NA,NA,NA,NA,NA
880558801,10.0540792660816,7512,2,1,1,1,2,NA,NA,NA,NA,NA
220999901,4.09466738576137,3511,4,3,1,1,5,NA,NA,NA,NA,NA
990773433,2.83255681266876,4311,4,0,2,1,1,NA,NA,NA,NA,NA
100177889,10.7068218908321,5120,0,5,1,1,2,NA,NA,NA,NA,NA
77099666,27.0840741567653,4321,3,0,1,1,1,NA,NA,NA,NA,NA
88099334,2.50663922370614,8322,0,0,1,1,1,NA,NA,NA,NA,NA
660663345,6.47466010089871,8332,2,3,1,1,1,NA,NA,NA,NA,NA
220234323,2.33022290232641,9329,2,0,1,1,2,NA,NA,NA,NA,NA
34177778,8.6575183407399,8331,0,2,1,1,3,NA,NA,NA,NA,NA
19811346,36.5300984902799,5153,2,1,1,1,1,NA,NA,NA,NA,NA
67177669,21.6344070654774,5223,2,0,2,1,2,NA,NA,NA,NA,NA
12101766,17.6970292822405,5223,0,1,1,1,4,NA,NA,NA,NA,NA
57288666,27.0840741567653,1212,5,0,1,1,1,NA,NA,NA,NA,NA
8811345,11.4391350739138,9112,0,0,2,1,3,NA,NA,NA,NA,NA
66066886,17.8979195718987,5131,0,0,2,1,2,NA,NA,NA,NA,NA
880344444,1,4321,3,2,1,1,26,NA,NA,NA,NA,NA
220237601,1,9112,1,0,1,1,4,NA,NA,NA,NA,NA
550127623,2.74178775262076,2411,5,2,2,2,NA,8,NA,NA,NA,NA
330553477,5.34290126427455,2342,5,1,1,1,1,NA,NA,NA,NA,NA
330990177,2.48919632647864,4222,4,2,1,1,3,NA,NA,NA,NA,NA
22012217,1,9211,0,0,2,1,90,NA,NA,NA,NA,NA
33034877,1,9211,0,0,2,1,300,NA,NA,NA,NA,NA
