gran_grupo,gran_grupo_nombre,anio,n_muestra,personas_estimadas,ingreso_trabajo_prom,horas_semanales_prom,tasa_formalidad,pct_mujeres
5,Trabajadores de los servicios y vendedores de comercios y mercados,2020,14447,1646087,424484.3182045033,NA,0.6834448753263833,0.5542550302626775
2,"Profesionales, científicos e intelectuales",2020,11489,1563566,1427875.3162062299,NA,0.8998088228543647,0.46606667067459895
9,Ocupaciones elementales,2020,13582,1328249,316490.0723336746,NA,0.6092870664024937,0.455436443016332
7,Artesanos y operarios de oficios,2020,9095,1017129,435728.7874597148,NA,0.5421795851089491,0.1445362387661742
3,Técnicos y profesionales de nivel medio,2020,7290,875633,712533.4574497343,NA,0.895257036520121,0.533266790995771
8,"Operadores de instalaciones, máquinas y ensambladores",2020,5528,623713,517197.21012656466,NA,0.745572128856136,0.08077433050136842
4,Personal de apoyo administrativo,2020,3765,466552,526228.6528478756,NA,0.9037813930065031,0.5213823968175038
1,"Directores, gerentes y administradores",2020,1952,258491,2228163.5746183977,NA,0.9373168298310158,0.33007338746803566
NA,NA,2020,1667,173506,568168.7792483188,NA,0.670621656743933,0.32918169976830775
6,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",2020,1484,107094,398393.00685782224,NA,0.4643104380233473,0.1276075223635311
0,Ocupaciones de las fuerzas armadas,2020,277,25346,1002677.0145656673,NA,0.7687432240847302,0.03988795076146137
5,Trabajadores de los servicios y vendedores de comercios y mercados,2022,17857,1871049,500596.7433774752,39.213255552698186,0.6170943122783971,0.5767972939244242
2,"Profesionales, científicos e intelectuales",2022,12135,1701941,1506567.4320618564,41.309869907105295,0.8454690817987157,0.49466579628788543
9,Ocupaciones elementales,2022,15130,1373196,411086.3343278005,39.09192495585031,0.5915703164383018,0.5090118235124483
7,Artesanos y operarios de oficios,2022,12654,1262130,552700.8620707134,40.578451286307455,0.546566837544625,0.1585438900905612
3,Técnicos y profesionales de nivel medio,2022,8849,1038164,862445.4930063506,42.51036964624414,0.8402964802669874,0.539705672706817
8,"Operadores de instalaciones, máquinas y ensambladores",2022,8194,816076,645031.6789186622,45.369023634467524,0.7170927621350838,0.09155642366642322
4,Personal de apoyo administrativo,2022,4007,476485,676999.119874689,43.40385336642801,0.8707926535685424,0.49973661290491833
1,"Directores, gerentes y administradores",2022,2711,368946,2309125.4893486,44.50758199355155,0.9191334955084735,0.3370818493763315
6,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",2022,3881,255782,489040.93373489095,40.80926086169078,0.43610408185719,0.14985808227318576
0,Ocupaciones de las fuerzas armadas,2022,252,22354,1332852.554763506,47.60297102786492,0.8851065743322242,0.047508275923772034
5,Trabajadores de los servicios y vendedores de comercios y mercados,2024,19856,1926555,580295.7167352181,38.814342306470266,0.6553023361391438,0.5738694197674087
2,"Profesionales, científicos e intelectuales",2024,15518,1894616,1700545.5452349533,40.697749546817555,0.8640951526488189,0.5059605745966465
9,Ocupaciones elementales,2024,15622,1327557,474494.79799703206,38.477070521403014,0.6294598671500781,0.5352372817137042
7,Artesanos y operarios de oficios,2024,13409,1261661,633138.4276253517,40.710579053095664,0.5857819204847095,0.1570390144420728
3,Técnicos y profesionales de nivel medio,2024,10184,1062830,1001531.2438754113,41.79816616094301,0.8599068535631624,0.5474280929217279
8,"Operadores de instalaciones, máquinas y ensambladores",2024,8835,821800,761197.3466042068,45.574292058538596,0.7466592454801556,0.09405208079824774
4,Personal de apoyo administrativo,2024,4506,483501,759956.3469928431,42.33035734644509,0.8899224967058507,0.4761127691566305
1,"Directores, gerentes y administradores",2024,3304,403595,2539701.4292097,43.505211203964386,0.9178075396825397,0.35401826088033794
6,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",2024,3896,263630,570010.035768681,41.07343883874884,0.49039173472758546,0.13933163903956303
0,Ocupaciones de las fuerzas armadas,2024,288,20362,1340599.8254100776,48.476688539148455,0.9538846871623613,0.06521952656909931
