ISCO08_C,ISCO1C,ISCO2C,PVLIT1,PVLIT2,PVLIT3,PVLIT4,PVLIT5,PVLIT6,PVLIT7,PVLIT8,PVLIT9,PVLIT10,PVNUM1,PVNUM2,PVNUM3,PVNUM4,PVNUM5,PVNUM6,PVNUM7,PVNUM8,PVNUM9,PVNUM10,NUMWORKC2,READWORKC2_T1,WRITWORKC2,ICTWORKC2,SPFWT0,AGE_R,GENDER_R
7411,7,74,223.29701,248.29376,228.15576,230.81055,245.20462,233.64625,228.7904,208.40513,249.90808,234.3202,261.13636,257.07585,258.43804,267.33002,277.55084,262.77871,259.18266,257.81496,273.96004,247.04466,1.56672,-1.81651,1.93324,.v,1423.02267,59.0,1.0
2221,2,22,299.26412,286.93441,295.73874,279.46923,298.97296,299.98115,272.86938,274.8885,288.31401,275.65633,293.83813,304.17021,305.83741,301.33992,275.95413,290.49495,294.40663,295.38495,278.40713,292.2029,2.36684,1.98792,3.63381,1.67347,2147.024612,24.0,2.0
1431,1,14,293.47229,283.46226,290.18551,274.28222,279.01913,283.13108,296.15072,274.10388,293.76088,301.60514,298.77875,272.04456,296.33079,274.08205,299.73936,307.80217,317.36512,293.28598,336.63528,303.8722,2.52352,2.47376,2.61166,1.85915,2490.780322,52.0,2.0
2263,2,22,234.18401,238.46007,252.16092,228.43442,245.63469,251.45279,277.93939,266.36568,237.74853,229.24263,200.25685,232.18755,204.7723,236.21045,222.72282,214.04087,240.1951,222.26086,218.22355,215.2445,3.33749,2.36169,3.63381,4.47177,9509.238736,45.0,1.0
9996,996,996,132.98702,136.50834,139.95825,151.63283,127.0816,146.41335,133.06507,151.37263,149.03266,141.72269,131.49878,138.51266,160.82583,150.11438,133.98021,140.86006,172.80738,152.58971,137.86729,155.81926,.v,.v,.v,.v,4825.032878,55.0,1.0
3313,3,33,265.37503,251.08158,260.5956,261.87317,258.18403,256.49838,238.06526,245.42179,256.40342,274.76235,264.34733,258.94182,260.3016,258.54112,258.42934,275.42145,242.17058,267.85212,282.05916,260.68782,1.70751,2.50447,3.63381,2.8321,2522.532456,42.0,1.0
4321,4,43,149.00096,179.70345,155.64713,169.70572,160.88874,168.37605,139.6418,160.90969,171.96556,175.25125,138.65683,155.86672,126.4541,124.6808,108.08735,122.20052,150.31971,131.0858,145.15772,128.92017,1.63861,4.31386,2.05622,1.89134,1804.778085,40.0,1.0
5414,5,54,185.20113,183.2592,186.25681,165.8277,191.01818,199.99478,198.43081,202.90554,202.89219,187.77659,192.78124,173.05959,172.83793,189.49792,188.88731,210.65829,191.55389,199.09416,208.20954,171.04578,1.41625,2.69163,2.76067,1.76894,1286.706571,30.0,2.0
3113,3,31,203.60366,196.39667,233.38669,192.73017,176.95083,193.47969,190.43784,214.41341,191.17106,216.92969,196.07279,169.30527,195.71402,185.54127,190.23818,180.50639,179.28007,186.66155,183.60651,186.00965,.v,.v,.v,.v,878.044913,23.0,2.0
3423,3,34,200.03001,192.65451,156.43716,155.96803,174.64807,151.16293,191.13731,183.94872,198.57873,196.87241,179.05833,184.9261,180.34514,168.48138,172.02686,167.21944,178.0649,199.80356,160.03037,186.57457,1.6236,1.56505,2.38929,.v,783.548885,38.0,2.0
9996,995,995,201.45713,188.6272,154.82693,192.94113,184.60841,192.78065,157.07065,189.45906,167.45857,123.85675,157.84672,155.22378,125.57551,173.24982,160.99855,131.37549,140.40509,164.19662,136.48974,117.32347,.v,.v,.v,.v,5012.568713,56.0,2.0
3322,3,33,252.08107,270.82825,269.04495,271.17784,286.92731,270.95515,277.93689,267.46053,278.78759,246.20374,255.5561,272.06904,243.8044,286.7965,281.64998,269.28508,243.66023,262.53954,276.67613,282.73845,2.12779,2.14434,2.28433,2.10841,2694.79184,34.0,2.0
9996,996,996,297.16801,308.4443,270.88083,280.69357,299.68268,283.35677,271.55405,315.77631,344.06662,262.17988,293.66907,305.22204,314.57744,315.42281,321.83502,300.47595,308.40324,319.32981,321.88334,317.424,.v,.v,.v,.v,2266.457024,18.0,1.0
2269,2,22,245.58631,259.53721,255.76884,225.93043,258.86045,267.04574,262.06444,232.56867,271.03698,256.46804,182.83391,209.84821,201.48146,211.43347,228.19974,200.30025,211.60343,189.54324,224.07878,221.733,0.11034,1.43846,1.81786,1.68902,1311.698517,32.0,1.0
7115,7,71,260.02366,262.75602,268.59781,266.71009,265.02358,267.7901,264.1827,254.60246,284.53334,289.31409,280.18588,267.84624,287.76788,245.53822,285.09217,269.03367,245.30206,286.58372,289.95784,300.70347,1.75534,3.6758,2.34549,1.10962,5090.025529,37.0,1.0
9996,995,995,295.86317,276.65634,303.18943,283.93959,267.0021,270.61895,266.19527,268.3261,294.72256,262.74464,326.92775,294.76956,306.30584,298.87686,290.1293,282.8471,284.94129,295.15799,306.14413,266.52979,.v,.v,.v,.v,816.742561,36.0,2.0
5322,5,53,135.65535,64.41283,65.12386,73.59434,84.49549,68.93767,139.8197,80.38926,81.5296,173.42661,111.66372,0.0,24.9237,22.48179,33.53611,27.2455,76.51591,36.26943,30.0609,107.45909,0.11034,0.70939,0.20752,.v,3319.638157,64.0,2.0
9996,995,995,238.72263,219.0566,228.63148,221.00625,221.78592,237.35348,214.25322,244.57738,239.55352,227.43092,214.48151,212.96078,223.23139,214.36354,227.91797,226.19511,211.59195,230.59222,238.12002,242.68353,.v,.v,.v,.v,2856.640439,39.0,2.0
5221,5,52,152.06156,134.9409,128.68071,128.69848,138.40223,131.44704,127.52084,138.37377,102.69086,127.35562,119.2979,138.01613,118.29979,108.07518,112.85416,110.27556,95.8542,111.2741,112.79519,112.99062,2.17879,1.41725,0.76608,.v,769.8684,63.0,2.0
9996,995,995,178.66767,183.47807,173.94541,195.53238,143.97222,182.63295,168.29591,185.11712,197.43222,194.87603,148.26404,192.7538,155.14731,188.11929,135.06766,185.73831,152.2187,176.2883,165.46309,163.05571,.v,.v,.v,.v,731.365641,60.0,2.0
9996,996,996,122.8488,125.8465,134.82175,145.318,146.71119,127.923,117.13746,143.91078,120.01511,107.97944,150.44525,162.65743,145.22246,140.7788,138.29821,159.16879,125.99956,140.57191,133.78367,127.27389,2.25,1.5582,1.78147,1.16733,3170.095488,50.0,2.0
5230,5,52,161.51011,156.12808,156.89671,168.96186,136.27594,146.51548,137.24142,146.47157,132.37443,154.63587,162.22401,159.48911,170.37346,157.55882,164.00688,187.27356,178.9636,166.05814,150.3971,201.44186,2.57327,1.19836,2.05622,1.13714,14008.967762,32.0,2.0
9996,996,996,129.70705,108.86556,147.54472,111.19463,143.97429,97.11262,142.37698,131.66511,127.38079,139.49566,115.81367,118.89284,111.47478,129.14974,115.58681,86.98864,130.23033,133.3001,114.31292,124.77294,.v,.v,.v,.v,6519.293198,38.0,2.0
5151,5,51,174.51237,191.76207,195.33165,211.68544,222.66041,207.54969,191.77829,181.86647,187.91014,194.32186,177.46731,195.8945,196.80918,165.43259,195.74892,202.30314,199.65353,193.04264,163.04158,199.73412,0.11034,1.68285,2.3831,1.13751,790.127872,62.0,2.0
2221,2,22,244.63521,247.34946,256.11214,288.56797,238.28685,244.89173,268.71225,227.88698,284.45473,256.22016,260.31055,228.22138,230.20249,250.34721,255.85546,242.47824,245.05077,231.4243,259.45595,241.20039,1.24678,2.72177,3.63381,1.47599,1605.778016,46.0,2.0
9334,9,93,210.37552,234.66085,228.51164,220.22914,253.44702,234.87606,207.18838,232.80957,199.71281,245.79772,236.05648,218.45562,203.81528,227.27811,220.69715,206.02008,234.58704,218.83408,220.0,202.3938,1.39489,0.71268,0.76608,1.2247,3777.610714,29.0,2.0
5414,5,54,276.91796,275.25141,269.99462,266.48732,285.55517,279.36603,261.3302,296.51085,277.72952,267.86906,272.90379,310.36288,283.34538,291.16133,313.41934,324.5999,297.58362,259.75255,317.79864,306.61436,0.11034,0.8189,2.38929,.v,3595.321522,48.0,1.0
5211,5,52,243.61489,233.42844,220.82135,224.58093,240.09174,236.11098,232.28685,204.62406,221.481,216.05768,234.86345,240.07153,231.2286,216.54658,227.63554,245.62325,236.98671,247.07501,238.62675,239.78898,1.75623,1.01156,0.20752,0.29699,2733.574547,59.0,2.0
9996,996,996,354.9315,343.21758,357.63936,346.06382,358.66911,332.23772,330.25543,342.64936,352.5194,322.79433,346.91631,324.49088,327.66031,313.17883,324.63428,320.88268,329.01008,348.87983,317.84663,302.06566,.v,.v,.v,.v,2561.699023,17.0,1.0
3412,3,34,266.57436,264.503,286.02332,286.46283,283.36703,259.01637,265.39359,277.29371,288.35405,277.94106,211.49218,216.47659,216.11676,232.91125,222.48558,239.2486,224.07365,225.37218,245.91948,222.11911,1.21635,2.06028,1.98731,1.2247,1624.412363,38.0,2.0
9996,995,995,169.73128,157.27507,172.72836,164.71803,159.38534,180.49304,166.10219,149.46709,135.93982,158.18188,186.99186,191.02923,147.28088,185.59657,161.35885,171.98696,177.05193,142.02805,150.44683,174.6402,.v,.v,.v,.v,2815.605911,18.0,2.0
9996,996,996,282.08712,298.21421,300.25681,290.79016,278.66067,283.55762,284.54187,301.50037,299.64452,281.15591,294.4893,280.40866,314.79007,276.73749,312.56282,304.68031,308.11964,300.22027,316.15455,295.4023,1.21635,3.75273,2.38929,1.2247,4783.400191,49.0,1.0
