subgrupo_principal,n_muestra,numeracidad,literacidad,uso_numeracidad_trabajo,uso_lectura_trabajo,uso_escritura_trabajo,uso_tic_trabajo,subgrupo_principal_nombre,gran_grupo,gran_grupo_nombre
52,389,208.9873983199418,211.2422307050047,2.033839209692813,1.5165335325565137,1.6729805852231148,1.5872544835129796,Vendedores,5,Trabajadores de los servicios y vendedores de comercios y mercados
91,231,172.45826611701364,178.45954091840005,0.7207213350334498,0.1474749276335594,0.8319989673897363,1.19199903198764,Auxiliares de aseo y trabajadores de casa particular,9,Ocupaciones elementales
33,209,231.59576393837995,234.79639947745696,2.5531936217642266,2.479878461113829,2.7856798511162246,2.496260797559883,Técnicos en operaciones financieras y administrativas,3,Técnicos y profesionales de nivel medio
51,201,205.3335757292802,210.97952829334275,1.709839229381788,1.5567229491740993,1.6120718660377975,1.49945073507401,Trabajadores de los servicios a las personas,5,Trabajadores de los servicios y vendedores de comercios y mercados
83,175,205.7927283143699,203.12703680834016,1.7557974472177857,1.045518804862782,1.5313930434218177,1.3439757665132677,Conductores de vehículos y operadores de equipos pesados y móviles,8,"Operadores de instalaciones, máquinas y ensambladores"
23,165,270.659432595059,269.0356862297782,2.17598262557622,2.5964861634327545,2.470055611391323,2.453842454376815,Profesionales de la educación,2,"Profesionales, científicos e intelectuales"
75,115,205.80000888790997,211.42811711082646,1.9336392212384477,1.2452764937245933,1.1789975362234268,1.602676192253724,"Operarios de procesamiento de alimentos, de la confección, ebanistas y otros oficios",7,Artesanos y operarios de oficios
31,114,233.7042309242545,223.5775670293082,2.765168571575232,2.3822680550358353,2.7671107426617274,2.303899430147261,Técnicos de las ciencias y la ingeniería,3,Técnicos y profesionales de nivel medio
71,113,189.53040647624564,188.96619336507277,1.9962377150015895,0.8956200107115132,1.2168801627175043,1.2321765867182124,Operarios de la construcción (no incluye electricistas),7,Artesanos y operarios de oficios
53,110,196.7601707519953,205.65332839433867,1.3849448859380649,1.8811721584174788,1.6809024963682546,1.5814985494799363,Trabajadores de los cuidados personales,5,Trabajadores de los servicios y vendedores de comercios y mercados
93,107,191.903256393024,197.2096871781398,1.5520607476028498,0.8876851986094506,1.1741721989085454,1.426571730703841,"Obreros de la minería, la construcción, la industria manufacturera y el transporte",9,Ocupaciones elementales
32,106,226.682396840046,235.26821267575397,1.6880930545769697,2.2051368469314188,2.120590806011625,1.985313742433854,Técnicos de la salud,3,Técnicos y profesionales de nivel medio
