codigo_ciuo08,descripcion,tareas_json
0110,"Los oficiales de las Fuerzas Armadas aportan competencias de liderazgo y de gestión a sus unidades organizativas y/o realizan tareas similares a las que se llevan a cabo en diversas ocupaciones civiles, en entornos ajenos a las Fuerzas Armadas. Este grupo primario abarca a todos los miembros de las Fuerzas Armadas con grado de teniente segundo (u otro grado equivalente) o superior.",[]
0210,"Los suboficiales de las Fuerzas Armadas se encargan de hacer cumplir la disciplina militar y supervisan las actividades de las personas empleadas en las ocupaciones comprendidas en el subgrupo principal 03 “Otros miembros de las Fuerzas Armadas” y/o realizan tareas similares a las que se llevan a cabo en diversas ocupaciones civiles, en entornos ajenos a las Fuerzas Armadas. Se incluyen en este grupo primario los miembros de las instituciones de la defensa nacional que tienen rangos, como por ejemplo, sargento, sargento mayor y oficial técnico.",[]
0310,"Los otros miembros de las Fuerzas Armadas lo integran todo el personal que presta servicios en las instituciones militares voluntariamente o por obligación, con la excepción de los oficiales y suboficiales. Los “Otros miembros de las Fuerzas Armadas” realizan tareas específicas del ámbito militar y también pueden realizar tareas similares a las que se llevan a cabo en diversas ocupaciones civiles, en entornos ajenos a las instituciones de la defensa nacional.",[]
1111,"Los miembros del Poder Ejecutivo y Legislativo definen, formulan y orientan las políticas del Gobierno nacional, la región, la provincia o la comuna, así como las políticas de los organismos gubernamentales internacionales; y elaboran, ratifican, modifican o derogan leyes y reglamentos públicos. Están comprendidos en este grupo primario tanto los miembros electos como los no electos del parlamento, concejos municipales y del Gobierno nacional, la región, la provincia o la comuna.","[""presidir los trabajos de los órganos legislativos y los concejos deliberantes del Gobierno nacional, la región, la provincia, la comuna o de las asambleas legislativas o participar en esos trabajos"", ""definir, formular y orientar las políticas del Gobierno nacional, la región, la provincia o la comuna"", ""elaborar, ratificar, modificar o derogar leyes y reglamentos públicos dentro de un marco legislativo o constitucional"", ""integrar consejos de administración de entidades estatales o comisiones oficiales"", ""investigar asuntos de interés público y defender los intereses del electorado al que representan"", ""asistir a reuniones y actos comunitarios con el fin de prestar servicios a la comunidad, comprender la opinión pública y facilitar información sobre los planes del gobierno"", ""negociar con otros miembros del poder legislativo y con representantes de grupos de interés para conciliar distintos intereses y establecer políticas y acuerdos"", ""en su calidad de miembros del gobierno, impartir a los directivos y altos funcionarios de los departamentos ministeriales u otros órganos de gobierno, orientaciones en cuanto a la interpretación y la puesta en práctica de las políticas gubernamentales""]"
1112,"El personal directivo de la administración pública asesora al Gobierno sobre temas relacionados a la política, supervisa la interpretación y la aplicación de las políticas gubernamentales y de la legislación por los departamentos ministeriales u otros órganos de Gobierno, actúa en nombre y representación del país en el extranjero o desempeña tareas similares en otras organizaciones intergubernamentales. Además, planifica, organiza, orienta, controla y evalúa las actividades generales de los departamentos, consejos directivos, agencias o comisiones del Gobierno nacional o de los Gobiernos regionales, provinciales o de la comuna, de conformidad con la legislación y las políticas establecidas por el Gobierno o el Poder Legislativo.","[""brindar asesoramiento sobre temas de política al Gobierno y a los miembros del Poder Legislativo nacional, la región, la provincia o la comuna"", ""brindar asesoramiento sobre la preparación de los presupuestos públicos y de las leyes y reglamentos, incluidos sus modificaciones o enmiendas"", ""establecer objetivos para los departamentos ministeriales u otros órganos de Gobierno en conformidad con la legislación y las políticas gubernamentales"", ""formular, aprobar y evaluar programas y procedimientos para la aplicación de las políticas gubernamentales, juntamente con las autoridades o en consulta con ellas"", ""recomendar, examinar, evaluar y aprobar documentos, notas e informes presentados por otros directivos de la administración pública de nivel medio o superior"", ""asegurar que se desarrollen y pongan en práctica sistemas y procedimientos adecuados para realizar el control presupuestario"", ""coordinar actividades con otros directivos y altos funcionarios de la administración pública"", ""llevar a cabo presentaciones de las políticas, programas o presupuestos ante comisiones legislativas y otros órganos de la administración pública"", ""supervisar la interpretación y la aplicación de las políticas gubernamentales y de la legislación por los departamentos ministeriales u otros órganos de Gobierno""]"
1113,"Los jefes de comunidades indígenas desempeñan diversas tareas y funciones legislativas, administrativas y ceremoniales basadas tanto en las tradiciones ancestrales de su comunidad como en la repartición de los poderes y responsabilidades entre los dirigentes de las comunidades.","[""asignar entre las familias de la comunidad o pueblo el usufructo de la tierra y demás recursos comunales"", ""recolectar y distribuir el excedente de producción de la comunidad o pueblo"", ""resolver los conflictos que surjan entre los miembros de la comunidad o pueblo"", ""sancionar las infracciones de las reglas y costumbres que cometan los miembros de la comunidad o pueblo"", ""desempeñar las funciones ceremoniales relacionadas con los nacimientos, matrimonios, defunciones, cosechas y otros eventos o actividades importantes"", ""representar a su comunidad o pueblo en los consejos locales o regionales"", ""informar a la comunidad o pueblo acerca de las disposiciones reglamentarias del Estado""]"
1114,"líticos, entre otras) Los dirigentes de organizaciones sociales y/o políticas (sindicatos, organizaciones sociales, partidos políticos, entre otras) definen, formulan y orientan la aplicación de las políticas de dichas organizaciones (tales como partidos políticos, sindicatos, organizaciones de empleadores, asociaciones mercantiles, asociaciones sectoriales, organizaciones humanitarias o de beneficencia y asociaciones deportivas), representan a sus organizaciones y actúan en su nombre.","[""definir y formular las políticas, los estatutos y los reglamentos de la organización"", ""planificar, dirigir y coordinar el funcionamiento general de la organización"", ""examinar las operaciones y resultados de la organización y dar cuenta a las juntas directivas y demás órganos rectores, a los miembros de la organización y a las entidades que le aporten financiamiento"", ""realizar negociaciones en nombre de la organización, de sus miembros y de los grupos relevantes que presenten un interés común"", ""promover los intereses de la organización y de sus miembros ante los órganos legislativos, el Gobierno o el público en general"", ""planificar, organizar y dirigir las actividades de los órganos encargados de aplicar las políticas, programas, estatutos y reglamentos de la organización"", ""asegurar que se desarrollen y pongan en práctica sistemas y procedimientos adecuados para realizar el control presupuestario"", ""supervisar y evaluar el funcionamiento de la organización según los objetivos y políticas establecidos"", ""representar a la organización en actos oficiales y reuniones de órganos directivos, en negociaciones y en convenciones, audiencias públicas y eventos""]"
1120,"Los directores y gerentes generales de empresas formulan y revisan las políticas empresariales. Asimismo, planifican, dirigen, coordinan y evalúan las actividades generales de las empresas u organizaciones (con excepción de las organizaciones que presentan un interés común, organizaciones sociales y políticas, y de los departamentos gubernamentales) con el apoyo de otros directores y gerentes, siguiendo habitualmente las pautas establecidas por una junta directiva u otro órgano rector, ante quien son responsables de las actividades realizadas y de los resultados obtenidos.","[""planificar, dirigir y coordinar el funcionamiento general de la empresa u organización"", ""examinar las operaciones y resultados de la empresa u organización y dar cuenta a la junta directiva y demás órganos rectores"", ""establecer objetivos, estrategias, políticas y programas para la empresa u organización"", ""asumir el liderazgo general y la gestión de la empresa u organización"", ""establecer y gestionar presupuestos, controlar los gastos y asegurar el uso eficiente de los recursos"", ""autorizar el uso de recursos materiales, humanos y financieros para aplicar las políticas y programas de la organización o empresa"", ""supervisar y evaluar el funcionamiento de la organización o empresa de acuerdo con los objetivos y políticas establecidas"", ""consultar con el personal más experimentado y examinar recomendaciones e informes"", ""representar a la organización en actos oficiales, negociaciones, convenciones, seminarios, audiencias públicas y eventos"", ""seleccionar al personal gerencial o aprobar su selección"", ""asegurar que la organización cumpla las leyes y reglamentos establecidos""]"
1211,"Los directores, gerentes y administradores de finanzas planifican, dirigen y coordinan las operaciones financieras de una empresa u organización, en consulta con el personal directivo superior y con los directores de otros departamentos o secciones, así como de las empresas que prestan servicios financieros a otras empresas y organizaciones.","[""planificar, dirigir y coordinar las operaciones financieras de una empresa u organización"", ""evaluar la situación financiera de la empresa u organización, preparar presupuestos y supervisar las operaciones financieras"", ""mantener contacto con el gerente general y con los directores de otros departamentos o secciones"", ""establecer y gestionar presupuestos, controlar los gastos y asegurar el uso eficiente de los recursos"", ""establecer y dirigir procedimientos operativos y administrativos"", ""planificar y dirigir el trabajo diario"", ""controlar la selección, formación y rendimiento del personal"", ""representar a la empresa u organización en las relaciones con entidades externas""]"
1212,"Los directores, gerentes y administradores de recursos humanos planifican, dirigen y coordinan las políticas relativas al personal, las relaciones laborales y las actividades en materia de seguridad y salud en el trabajo de una empresa u organización o de aquellas que prestan servicios de recursos humanos a terceros.","[""planificar, dirigir y coordinar las actividades políticas y prácticas en materia de personal y de relaciones laborales de una empresa u organización"", ""planificar y organizar los procedimientos de contratación, formación, promoción, traslado y despido del personal"", ""planificar y organizar las negociaciones y procedimientos sobre fijación de la escala y los niveles salariales y realizar consultas con los trabajadores acerca de las condiciones de trabajo"", ""controlar los programas y actividades sobre seguridad, salud y otros temas relacionados"", ""establecer y gestionar presupuestos, controlar los gastos y asegurar el uso eficiente de los recursos"", ""establecer y dirigir procedimientos operativos y administrativos"", ""controlar el desarrollo y la puesta en práctica de sistemas de información sobre gestión"", ""garantizar el cumplimiento de las normas y las legislaciones relativas a los derechos de los trabajadores, la seguridad, salud, la igualdad de oportunidades y otros temas relacionados"", ""controlar la selección, formación y rendimiento del personal de toda la empresa u organización"", ""mantener contacto con el personal de alta dirección y con los directores de otros departamentos"", ""representar a la empresa u organización en las relaciones con entidades externas""]"
1213,"Los directores, gerentes y administradores de políticas empresariales y planificación organizan, dirigen y coordinan actividades de asesoramiento sobre políticas empresariales y planificación estratégica en entidades gubernamentales, organizaciones no gubernamentales y entidades del sector privado, o gestionan las actividades de empresas que prestan servicios de desarrollo de políticas empresariales y planificación estratégica.","[""elaborar, aplicar y supervisar planes, programas, políticas, procesos, sistemas y procedimientos estratégicos para alcanzar objetivos o cumplir normas de trabajo"", ""elaborar, dirigir y administrar estudios y análisis de políticas empresariales y participar en dichas actividades"", ""coordinar la aplicación de prácticas y políticas empresariales"", ""establecer mediciones de la actividad y mecanismos para medir la responsabilidad de rendición de cuentas"", ""planificar y dirigir el trabajo diario"", ""conducir y gestionar las actividades del personal que trabaja en la elaboración de políticas empresariales y en la planificación estratégica"", ""controlar la selección, formación y rendimiento del personal"", ""mantener contacto con el personal de alta dirección y con los directores de otros departamentos"", ""representar a la empresa u organización en negociaciones, así como en convenciones, seminarios, a diencias públicas y eventos""]"
1219,"Se incluyen en este grupo primario a otros directores, gerentes y administradores de servicios administrativos no clasificados previamente del subgrupo 121 “Directores, gerentes y administradores de finanzas, de recursos humanos, políticas empresariales y de servicios administrativos”. Se trata, como por ejemplo, de ocupaciones como director o administrador de instalaciones comerciales (facility manager), director de servicios administrativos, tanto si están empleados en el departamento de una gran empresa u organización, como en una empresa que presta dichos servicios.","[""prestar servicios de apoyo, estudio y asesoramiento en los ámbitos administrativo, operativo y de planificación estratégica al personal de alta dirección sobre temas como la gestión de las instalaciones y de los servicios administrativos"", ""desarrollar y gestionar los recursos administrativos y físicos de la organización"", ""elaborar y aplicar declaraciones y pautas sobre temas administrativos y de procedimiento para ser utilizado por el personal de la organización"", ""analizar temas e iniciativas complejas en materia de gestión de los recursos que afecten a la organización, preparar los informes, la correspondencia y los documentos correspondientes"", ""facilitar información y apoyo para la preparación de informes financieros y presupuestos"", ""dirigir, gestionar y formar al personal administrativo para asegurar el correcto desarrollo de las actividades y el suministro de información precisa y oportuna"", ""representar a la empresa u organización en negociaciones, convenciones, seminarios, audiencias públicas y eventos"", ""establecer y gestionar presupuestos, controlar los gastos y asegurar el uso eficiente de los recursos"", ""planificar y dirigir el trabajo diario"", ""controlar la selección, formación y rendimiento del personal""]"
1221,"Los directores, gerentes y administradores de comercialización planifican, dirigen y coordinan las actividades y estrategias de comercialización de una empresa u organización o de las empresas que prestan servicios de comercialización a otras empresas y organizaciones, con el objetivo de mejorar las ventas.","[""planificar y organizar programas especiales de venta y comercialización basándose en los registros de ventas y en evaluaciones de mercado"", ""establecer listas de precios, condiciones de descuento y de entrega, presupuestos para las ventas en promoción, métodos de venta, incentivos y campañas especiales"", ""establecer y dirigir los procedimientos operativos y administrativos relativos a las actividades de ventas y comercialización"", ""dirigir y gestionar las actividades del personal de ventas y comercialización"", ""planificar y dirigir el trabajo diario"", ""establecer y gestionar presupuestos y controlar los gastos para asegurar el uso eficiente de los recursos"", ""controlar la selección, formación y rendimiento del personal"", ""representar a la empresa u organización en convenciones de venta y comercialización, exposiciones comerciales y otros eventos""]"
1222,"Los directores, gerentes y administradores de publicidad y relaciones públicas planifican, dirigen y coordinan las actividades de publicidad, relaciones públicas e información pública de las empresas y organizaciones o de las empresas que ofrecen estos servicios a otras empresas y organizaciones.","[""planificar, dirigir y coordinar las actividades de publicidad y relaciones públicas de una empresa u organización"", ""negociar contratos de publicidad con los clientes o con periódicos, emisoras de radio y televisión, organizaciones deportivas, culturales y agencias de publicidad"", ""planificar y gestionar programas de información destinados a las autoridades, los medios de comunicación y el público en general sobre los planes, logros y opiniones de la empresa u organización"", ""dirigir y gestionar las actividades del personal de publicidad y relaciones públicas"", ""establecer y gestionar presupuestos, controlar los gastos y asegurar el uso eficiente de los recursos"", ""establecer y dirigir procedimientos operativos y administrativos"", ""planificar y dirigir el trabajo diario"", ""controlar la selección, formación y rendimiento del personal""]"
1223,"Los directores, gerentes y administradores de investigación y desarrollo planifican, dirigen y coordinan las actividades de investigación y desarrollo de una empresa u organización, o de las empresas que proporcionan estos servicios a otras empresas y organizaciones.","[""planificar, dirigir y coordinar las actividades de investigación y desarrollo, tanto de la propia empresa u organización como las actividades encomendadas por otras organizaciones de investigación, para crear o mejorar procedimientos técnicos, productos, conocimientos o modos de utilizar los materiales"", ""planificar el programa general de investigación y desarrollo de la empresa u organización, definir metas y fijar requisitos presupuestarios"", ""dirigir y gestionar las actividades del personal a cargo de la investigación y desarrollo"", ""establecer y gestionar presupuestos, controlar los gastos y asegurar el uso eficiente de los recursos"", ""establecer y dirigir procedimientos operativos y administrativos"", ""planificar y dirigir el trabajo diario"", ""controlar la selección, formación y rendimiento del personal"", ""representar a la empresa u organización en convenciones, seminarios y conferencias""]"
1311,"Los directores, gerentes y administradores de producción y operaciones agropecuarias y de silvicultura planifican, dirigen y coordinan las actividades de producción de explotaciones a gran escala en la agricultura, la horticultura y la silvicultura, en plantaciones, fundos, granjas colectivas y cooperativas agrícolas donde se cultivan y cosechan productos agrícolas y se reproducen y crían animales.","[""efectuar el seguimiento de los mercados de la agricultura y la silvicultura, planificar la producción con el fin de satisfacer los requisitos contractuales y responder a la demanda de los mercados"", ""establecer y gestionar presupuestos, supervisar el rendimiento y los costos, registrar datos, tales como los relativos a las prácticas de gestión en la agricultura y preparar informes financieros y operativos"", ""concertar con los compradores las condiciones de venta de productos agrícolas y ganado"", ""suscribir con agricultores o propietarios independientes contratos sobre producción agropecuaria o sobre la gestión de la producción"", ""planificar el tipo, la intensidad y la secuencia de las operaciones agrícolas (como por ejemplo, determinar el mejor momento para la siembra, la fumigación y la cosecha)"", ""analizar los suelos para determinar los tipos y cantidades de fertilizantes necesarios para maximizar la producción"", ""comprar maquinaria, equipos y suministros, tales como tractores, semillas, fertilizantes y sustancias químicas"", ""identificar y controlar toxinas ambientales, malezas, plagas y enfermedades en explotaciones agrícolas y forestales"", ""organizar actividades de explotación agrícola tales como el mantenimiento de las instalaciones, los sistemas de abastecimiento de agua y los equipos"", ""dirigir y coordinar actividades tales como la plantación, el riego, la aplicación de sustancias químicas, la cosecha y la clasificación de los productos"", ""inspeccionar plantaciones y campos para determinar las fechas de madurez de los cultivos o para estimar los daños que el clima puede provocar en los cultivos"", ""controlar la selección, formación y rendimiento de los trabajadores agropecuarios, forestales y los contratistas""]"
1312,"Los directores, gerentes y administradores de producción y operaciones de acuicultura y pesca planifican, dirigen y coordinan la producción a gran escala en explotaciones de acuicultura y operaciones de pesca, captura y cosecha de peces y mariscos; la cría de peces, mariscos u otras formas de vida acuática, destinados a su comercialización o a su liberación en agua dulce o salada.","[""efectuar el seguimiento de los mercados de la acuicultura y la pesca, planificar las actividades de producción y de pesca con el fin de satisfacer los requisitos contractuales y responder a la demanda de los mercados"", ""establecer y gestionar presupuestos, supervisar el rendimiento y los costos de producción, registrar información sobre temas tales como las prácticas de gestión en la pesca y preparar informes financieros y operativos"", ""concertar con los compradores las condiciones de venta de los productos y capturas"", ""suscribir contratos con patrones de pesca, propietarios de buques y centros de cultivo acuícolas para realizar actividades de pesca y acuicultura o sobre la gestión de la producción"", ""organizar y llevar a cabo exámenes de las existencias de acuicultura o de pesca con el fin de detectar enfermedades o parásitos"", ""idear y coordinar actividades para mejorar la incubación de peces, sus tasas de crecimiento y para prevenir enfermedades en los criaderos acuícolas"", ""vigilar el medioambiente para mantener o mejorar las condiciones de vida acuática"", ""dirigir y supervisar la captura y el desove de peces, la incubación de huevos y la cría de alevines, aplicando conocimientos sobre gestión y técnicas de cultivo de peces"", ""coordinar la selección y mantenimiento de las crías de peces y mariscos"", ""dirigir y supervisar el traslado de peces maduros a lagos, estanques, arroyos o depósitos comerciales"", ""comprar maquinaria, equipos y suministros, tales como barcos y redes de pesca"", ""organizar operaciones, tales como el mantenimiento de los buques, otras embarcaciones y equipos"", ""controlar la selección, formación y desempeño de los trabajadores y contratistas en actividades de acuicultura o de pesca""]"
1321,"Los directores, gerentes y administradores de industrias manufactureras planifican, dirigen y coordinan las actividades relacionadas con la producción de bienes, la producción y distribución de electricidad, gas, agua, y la recolección, el tratamiento y la eliminación de residuos. Se incluyen en este grupo primario tanto los directores de departamentos de producción de grandes empresas como los directores de pequeñas empresas manufactureras.","[""definir, aplicar y supervisar estrategias, políticas y planes de producción"", ""planificar aspectos específicos de las actividades de producción, como la calidad, cantidad, costos, plazos disponibles y necesidades de mano de obra en relación al producto"", ""controlar el funcionamiento de las plantas de producción y los procedimientos de calidad mediante la planificación del mantenimiento, la determinación de las horas de funcionamiento y el suministro de piezas y herramientas"", ""establecer y gestionar presupuestos, controlar el rendimiento y los costos de la producción, ajustar los procedimientos y recursos para minimizar los costos"", ""mantener contacto e informar a otros directores sobre temas de producción"", ""controlar la adquisición e instalación de nuevas plantas y equipos"", ""controlar la preparación de registros e informes de producción"", ""coordinar la aplicación de los requisitos en materia de higiene y seguridad en el trabajo"", ""identificar oportunidades de negocio y determinar los productos que se han de fabricar"", ""estudiar y aplicar los requisitos legales y reglamentarios que inciden en las operaciones de producción manufacturera y en el medio ambiente"", ""supervisar la preparación de cotizaciones relativas a la fabricación de bienes especializados y suscribir contratos con clientes y proveedores"", ""controlar la selección, formación y rendimiento del personal""]"
