isco88_titulo_en,isco88_codigo,isco08_codigo,isco08_parcial,isco08_titulo_en,comentarios
Legislators,1110,1111,NA,Legislators,NA
Senior government officials,1120,1112,NA,Senior government officials,NA
Traditional chiefs and heads of villages,1130,1113,NA,Traditional chiefs and heads of villages,NA
Senior officials of political-party organisations,1141,1114,p,Senior officials of special-interest organizations,NA
"Senior officials of employers', workers' and other economic-interest organisations",1142,1114,p,Senior officials of special-interest organizations,NA
Senior officials of humanitarian and other special-interest organisations,1143,1114,p,Senior officials of special-interest organizations,NA
Directors and chief executives,1210,1120,NA,Managing directors and chief executives,NA
"Production and operations department managers in agriculture, hunting, forestry and fishing",1221,1311,NA,Agricultural and forestry production managers,NA
"Production and operations department managers in agriculture, hunting, forestry and fishing",1221,1312,NA,Aquaculture and fisheries production managers,NA
Production and operations department managers in manufacturing,1222,1321,p,Manufacturing managers,NA
Production and operations department managers in manufacturing,1222,1322,p,Mining managers,NA
Production and operations department managers in construction,1223,1323,p,Construction managers,NA
Production and operations department managers in construction,1223,3123,p,Construction supervisors,NA
Production and operations department managers in wholesale and retail trade,1224,1420,p,Retail and wholesale trade managers,NA
Production and operations department managers in restaurants and hotels,1225,1411,p,Hotel managers,NA
Production and operations department managers in restaurants and hotels,1225,1412,p,Restaurant managers,Production and operations managers in restaurants
"Production and operations department managers in transport, storage and communications",1226,1324,p,"Supply, distribution and related managers","Postmasters,  station masters, transport, storage and distribution department managers"
"Production and operations department managers in transport, storage and communications",1226,1330,p,Information and communications technology service managers,Telecommunications department managers
Production and operations department managers in business services,1227,1219,p,Business services and administration managers not elsewhere classified,NA
Production and operations department managers in business services,1227,1346,NA,Financial and insurance services branch managers,NA
"Production and operations department managers in personal care, cleaning and related services",1228,1219,p,Business services and administration managers not elsewhere classified,Building services and cleaning department managers
Production and operations department managers not elsewhere classified,1229,1213,p,Policy and planning managers,NA
Production and operations department managers not elsewhere classified,1229,1219,p,Business services and administration managers not elsewhere classified,NA
Production and operations department managers not elsewhere classified,1229,1341,p,Child care services managers,NA
Production and operations department managers not elsewhere classified,1229,1342,p,Health services managers,NA
Production and operations department managers not elsewhere classified,1229,1343,p,Aged care services managers,NA
Production and operations department managers not elsewhere classified,1229,1344,p,Social welfare managers,NA
Production and operations department managers not elsewhere classified,1229,1345,p,Education managers,NA
Production and operations department managers not elsewhere classified,1229,1349,p,Professional services managers not elsewhere classified,NA
Production and operations department managers not elsewhere classified,1229,1439,p,Services managers not elsewhere classified,NA
Production and operations department managers not elsewhere classified,1229,2654,p,"Film, stage and related directors and producers",NA
Production and operations department managers not elsewhere classified,1229,3435,p,Other artistic and cultural associate professionals,Stage managers
Finance and administration department managers,1231,1211,p,Finance managers,NA
Finance and administration department managers,1231,1219,p,Business services and administration managers not elsewhere classified,Administration department managers
Personnel and industrial relations department managers,1232,1212,p,Human resource managers,NA
Sales and marketing department managers,1233,1221,p,Sales and marketing managers,NA
Advertising and public relations department managers,1234,1222,p,Advertising and public relations managers,NA
Supply and distribution department managers,1235,1324,p,"Supply, distribution and related managers",NA
Computing services department managers,1236,1330,p,Information and communications technology service managers,NA
Research and development department managers,1237,1223,p,Research and development managers,NA
Other department managers not elsewhere classified,1239,1213,p,Policy and planning managers,"Managers of planning and policy departments in establishments other than those in public administration, compulsory social security, education, health, social work, extra territorial organizations and bodies, and recreational, cultural and sporting activities (as defined in ISIC Rev 3)."
"General managers in agriculture, hunting, forestry and fishing",1311,6111,p,Field crop and vegetable growers,NA
"General managers in agriculture, hunting, forestry and fishing",1311,6112,p,Tree and shrub crop growers,NA
"General managers in agriculture, hunting, forestry and fishing",1311,6113,p,"Gardeners, horticultural and nursery growers",NA
"General managers in agriculture, hunting, forestry and fishing",1311,6114,p,Mixed crop growers,NA
"General managers in agriculture, hunting, forestry and fishing",1311,6121,p,Livestock and dairy producers,NA
"General managers in agriculture, hunting, forestry and fishing",1311,6122,p,Poultry producers,NA
"General managers in agriculture, hunting, forestry and fishing",1311,6130,p,Mixed crop and animal producers,NA
"General managers in agriculture, hunting, forestry and fishing",1311,6210,p,Forestry and related workers,NA
"General managers in agriculture, hunting, forestry and fishing",1311,6221,p,Aquaculture workers,NA
"General managers in agriculture, hunting, forestry and fishing",1311,6222,p,Inland and coastal waters fishery workers,NA
"General managers in agriculture, hunting, forestry and fishing",1311,6223,p,Deep-sea fishery workers,NA
General managers in manufacturing,1312,1321,p,Manufacturing managers,NA
General managers in manufacturing,1312,1322,p,Mining managers,Managers of small mining and quarrying businesses
General managers in construction,1313,1323,p,Construction managers,NA
General managers in wholesale and retail trade,1314,1420,p,Retail and wholesale trade managers,NA
General managers in wholesale and retail trade,1314,5221,NA,Shopkeepers,NA
General managers of restaurants and hotels,1315,1411,p,Hotel managers,NA
General managers of restaurants and hotels,1315,1412,p,Restaurant managers,NA
"General managers in transport, storage and communications",1316,1324,p,"Supply, distribution and related managers",NA
"General managers in transport, storage and communications",1316,1330,p,Information and communications technology service managers,NA
General managers of business services,1317,1211,p,Finance managers,Managers of establishments providing accounting or similar services
General managers of business services,1317,1212,p,Human resource managers,Managers of establishments providing human resource and recruitment services
General managers of business services,1317,1219,p,Business services and administration managers not elsewhere classified,NA
General managers of business services,1317,1221,p,Sales and marketing managers,Managers of marketing companies
General managers of business services,1317,1222,p,Advertising and public relations managers,Managers of  advertising and public relations companies
General managers of business services,1317,1330,p,Information and communications technology service managers,Managers of small computing and telecommunications companies
General managers of business services,1317,1346,NA,Financial and insurance services branch managers,NA
"General managers in personal care, cleaning and related services",1318,1219,p,Business services and administration managers not elsewhere classified,Managers of contract cleaning companies? For review
General managers not elsewhere classified,1319,1223,p,Research and development managers,Research and devlopment company managers
General managers not elsewhere classified,1319,1341,p,Child care services managers,NA
General managers not elsewhere classified,1319,1342,p,Health services managers,NA
General managers not elsewhere classified,1319,1343,p,Aged care services managers,NA
General managers not elsewhere classified,1319,1344,p,Social welfare managers,NA
General managers not elsewhere classified,1319,1345,p,Education managers,NA
General managers not elsewhere classified,1319,1349,p,Professional services managers not elsewhere classified,NA
General managers not elsewhere classified,1319,1431,NA,"Sports, recreation and cultural centre managers",NA
General managers not elsewhere classified,1319,1439,p,Services managers not elsewhere classified,NA
Physicists and astronomers,2111,2111,NA,Physicists and astronomers,NA
Meteorologists,2112,2112,NA,Meteorologists,NA
Chemists,2113,2113,NA,Chemists,NA
Chemists,2113,2262,p,Pharmacists,"Industrial pharmacists,  pharmaceutical chemists"
Geologists and geophysicists,2114,2114,NA,Geologists and geophysicists,NA
Mathematicians and related professionals,2121,2120,p,"Mathematicians, actuaries and statisticians",NA
Statisticians,2122,2120,p,"Mathematicians, actuaries and statisticians",NA
Computer systems designers and analysts,2131,2511,NA,Systems analysts,NA
