isco88_codigo,ciuo08_codigo_aprox,es_ambiguo
0110,0110,TRUE
1110,1111,FALSE
1120,1112,FALSE
1130,1113,FALSE
1141,1114,FALSE
1142,1114,FALSE
1143,1114,FALSE
1210,1120,FALSE
1221,1311,TRUE
1222,1321,TRUE
1223,1323,TRUE
1224,1420,FALSE
1225,1411,TRUE
1226,1324,TRUE
1227,1346,FALSE
1228,1219,FALSE
1229,1213,TRUE
1231,1211,TRUE
1232,1212,FALSE
1233,1221,FALSE
1234,1222,FALSE
1235,1324,FALSE
1236,1330,FALSE
1237,1223,FALSE
1239,1213,FALSE
1311,6111,TRUE
1312,1321,TRUE
1313,1323,FALSE
1314,5221,FALSE
1315,1411,TRUE
1316,1324,TRUE
1317,1346,FALSE
1318,1219,FALSE
1319,1431,FALSE
2111,2111,FALSE
2112,2112,FALSE
2113,2113,FALSE
2114,2114,FALSE
2121,2120,FALSE
2122,2120,FALSE
2131,2511,TRUE
2132,2514,FALSE
2139,2513,TRUE
2141,2161,TRUE
2142,2142,FALSE
2143,2151,FALSE
2144,2152,TRUE
2145,2144,FALSE
2146,2145,FALSE
2147,2146,FALSE
2148,2165,FALSE
2149,2141,TRUE
2211,2133,FALSE
2212,2212,FALSE
2213,2132,FALSE
2221,2211,TRUE
2222,2261,FALSE
2223,2250,FALSE
2224,2262,FALSE
2229,2263,TRUE
2230,1342,TRUE
2310,2310,FALSE
2320,2330,FALSE
2331,2341,FALSE
2332,2342,FALSE
2340,2352,FALSE
2351,2351,FALSE
2352,2351,FALSE
2359,2354,FALSE
2411,2411,TRUE
2412,2423,TRUE
2419,2413,TRUE
2421,2611,FALSE
2422,2612,FALSE
2429,2619,FALSE
2431,2621,FALSE
2432,2622,FALSE
2441,2631,FALSE
2442,2632,FALSE
2443,2633,FALSE
2444,2643,FALSE
2445,2634,FALSE
2446,2635,FALSE
2451,2431,TRUE
2452,2651,FALSE
2453,2652,FALSE
2454,2653,FALSE
2455,2655,FALSE
2460,2636,FALSE
3111,3111,FALSE
3112,3112,FALSE
3113,3113,FALSE
3114,3522,FALSE
3115,3115,FALSE
3116,3116,FALSE
3117,3117,FALSE
3118,3118,FALSE
3119,3119,FALSE
3121,3512,FALSE
3122,3511,FALSE
3123,3139,FALSE
3131,3431,FALSE
3132,3522,FALSE
3133,3211,FALSE
3141,3151,FALSE
3142,3152,FALSE
3143,3153,FALSE
3144,3154,FALSE
3145,3155,FALSE
3151,3112,TRUE
3152,7543,FALSE
3211,3141,TRUE
3212,3142,TRUE
3213,2132,FALSE
3221,2240,TRUE
3222,2263,TRUE
3223,2265,FALSE
3224,2267,TRUE
3225,3251,FALSE
3226,2264,TRUE
3227,3240,FALSE
3228,3213,FALSE
3229,2266,FALSE
3231,3221,FALSE
3232,3222,FALSE
3241,2230,TRUE
3242,3413,FALSE
3310,2341,FALSE
3320,2342,FALSE
3330,2352,FALSE
3340,5165,FALSE
3411,3311,FALSE
3412,3321,FALSE
3413,3334,FALSE
3414,4221,FALSE
3415,2433,TRUE
3416,3323,FALSE
3417,3315,FALSE
3419,3312,FALSE
3421,3324,FALSE
3422,3331,FALSE
3423,3333,FALSE
3429,3339,FALSE
3431,3341,TRUE
3432,3411,FALSE
3433,3313,FALSE
3434,3314,FALSE
3439,3332,FALSE
3441,3351,FALSE
3442,3352,FALSE
3443,3353,FALSE
3444,3354,FALSE
3449,3359,FALSE
3450,3355,TRUE
3460,3412,FALSE
3471,2163,TRUE
3472,2656,FALSE
3473,2652,TRUE
3474,2659,FALSE
3475,3421,TRUE
3480,3413,FALSE
4111,3341,TRUE
4112,3341,TRUE
4113,4132,FALSE
4114,3341,TRUE
4115,4120,FALSE
4121,4311,TRUE
4122,4312,FALSE
4131,4321,FALSE
4132,4322,FALSE
4133,4323,FALSE
4141,4411,TRUE
4142,4412,FALSE
4143,3252,TRUE
4144,4414,FALSE
4190,4110,TRUE
4211,5230,FALSE
4212,4211,FALSE
4213,4212,FALSE
4214,4213,FALSE
4215,4214,FALSE
4221,4221,FALSE
4222,4222,TRUE
4223,4223,FALSE
5111,5111,FALSE
5112,5112,FALSE
5113,5113,FALSE
5121,5151,TRUE
5122,3434,TRUE
5123,5131,TRUE
5131,5311,TRUE
5132,3258,TRUE
5133,5322,FALSE
5139,5164,TRUE
5141,5141,TRUE
5142,5162,FALSE
5143,5163,FALSE
5149,5169,FALSE
5151,5161,FALSE
5152,5161,FALSE
5161,5411,FALSE
5162,5412,FALSE
5163,5413,FALSE
5169,5419,FALSE
